region,product,annual_trade_value_(usd),year,email
North America,Furniture,1090789,2023,xeblwxz@hotmail.com
South America,Vehicles,1599284,2022,vqeezmu@company.com
Asia,Agriculture,670486,2022,qkjtwov@gmail.com
North America,Furniture,441475,2022,zxgzraf@yahoo.com
South America,Chemicals,676706,2023,qztpjtk@trade.org
Asia,Agriculture,1068504,2024,gxoonfm@gmail.com
Asia,Agriculture,1564276,2022,whfjmwy@hotmail.com
Oceania,Agriculture,697904,2023,xscjqow@gmail.com
Europe,Agriculture,1318474,2023,liqwjmh@yahoo.com
Asia,Agriculture,987762,2023,ursnoki@trade.org
Oceania,Chemicals,1570099,2024,mctkidy@trade.org
North America,Electronics,1261582,2022,jghlpzw@yahoo.com
Africa,Electronics,77896,2023,nmplnps@gmail.com
Oceania,Textiles,494510,2023,eesfmta@trade.org
North America,Electronics,1547616,2021,urdoamp@hotmail.com
North America,Machinery,91649,2021,cfwafhc@gmail.com
North America,Electronics,534330,2023,jwuoxfu@gmail.com
North America,Vehicles,409134,2022,zcwrfzx@gmail.com
North America,Electronics,1865102,2023,piqjhyw@yahoo.com
North America,Vehicles,1986860,2023,wunxfxs@trade.org
North America,Machinery,1787564,2021,vedxrre@company.com
North America,Plastics,1744984,2022,txntlvv@yahoo.com
Oceania,Machinery,302495,2022,plnmpxp@gmail.com
Africa,Plastics,608324,2024,kqgokxt@company.com
Asia,Furniture,651340,2021,opkmjbn@hotmail.com
Europe,Plastics,341146,2024,fpmdybl@trade.org
Europe,Plastics,1185100,2022,akqyhef@hotmail.com
Oceania,Electronics,1204570,2024,iwvqzdp@company.com
South America,Chemicals,1680341,2023,tyvqggb@company.com
North America,Electronics,1570605,2021,jqvjone@hotmail.com
Europe,Chemicals,1267776,2021,suxzdww@yahoo.com
Europe,Machinery,1833033,2023,cwnnayb@company.com
Oceania,Electronics,644876,2023,pfyitct@trade.org
Oceania,Agriculture,1310876,2024,xlipvoc@yahoo.com
Europe,Chemicals,1549731,2024,nkzrcuc@company.com
Asia,Machinery,1262041,2023,ijhoiuc@trade.org
Europe,Electronics,1245095,2022,geruzrt@yahoo.com
Asia,Textiles,617010,2023,lixjmpt@trade.org
Africa,Chemicals,1620196,2023,iluabtl@yahoo.com
North America,Agriculture,728775,2022,cidsvcp@hotmail.com
North America,Agriculture,110503,2021,tvmrkto@gmail.com
Oceania,Agriculture,745968,2024,ufuexzv@trade.org
Asia,Furniture,766739,2021,yqwruhf@yahoo.com
North America,Plastics,1671276,2022,hupblmi@yahoo.com
Europe,Agriculture,1119012,2021,ofvnggv@company.com
Africa,Electronics,413850,2024,cjovtyf@company.com
Asia,Textiles,1591834,2024,dtdbxpe@company.com
North America,Textiles,464946,2024,kvocnhb@company.com
Asia,Machinery,90038,2023,bvwhlsa@trade.org
North America,Furniture,1422387,2022,oamhpvc@company.com
South America,Furniture,945708,2021,xqyevxa@hotmail.com
Oceania,Chemicals,477708,2024,kpsjcpm@trade.org
Oceania,Furniture,390990,2023,fbagroe@gmail.com
North America,Plastics,1462739,2023,qoyzodf@hotmail.com
North America,Vehicles,1082167,2021,jrwoqmq@hotmail.com
North America,Agriculture,812851,2024,lrnogwh@trade.org
Oceania,Textiles,1313438,2022,jvmtcvh@yahoo.com
Africa,Vehicles,758178,2024,rqprfoc@yahoo.com
South America,Electronics,1445064,2022,btmrfyi@gmail.com
South America,Chemicals,1244755,2023,gjkgecp@trade.org
North America,Agriculture,1528811,2021,hnriudj@trade.org
North America,Electronics,1226776,2022,pawyurx@yahoo.com
Oceania,Machinery,1683150,2021,geougih@trade.org
North America,Furniture,499702,2024,wzjfwax@trade.org
Africa,Textiles,1111141,2023,visadsj@trade.org
Africa,Electronics,1473303,2022,jicstbf@hotmail.com
North America,Plastics,266807,2023,ondeump@company.com
South America,Chemicals,181830,2023,mqbmhmj@trade.org
Europe,Vehicles,1823121,2023,mlavnpz@hotmail.com
Asia,Chemicals,1841653,2024,iwuglfm@gmail.com
Europe,Plastics,1997233,2022,eofemcq@hotmail.com
South America,Agriculture,1180355,2022,xpllgvv@yahoo.com
Africa,Furniture,1896967,2023,kysnkwy@yahoo.com
Asia,Vehicles,717614,2023,ichrecj@yahoo.com
Africa,Chemicals,1611210,2023,idvlwof@company.com
North America,Chemicals,1419558,2023,kuekqsg@hotmail.com
Europe,Textiles,1944318,2022,eocbkfr@yahoo.com
Europe,Electronics,168803,2024,ycvckwz@company.com
Oceania,Vehicles,1559373,2022,bmnbhmo@yahoo.com
Oceania,Agriculture,411479,2022,iohdphs@trade.org
Africa,Textiles,1515085,2023,agixtdd@hotmail.com
North America,Machinery,139993,2022,cwhupbu@yahoo.com
Oceania,Agriculture,660539,2023,thavhsl@gmail.com
Oceania,Plastics,1810137,2024,yvirkei@trade.org
Europe,Plastics,1915385,2021,xaadfes@gmail.com
Europe,Plastics,531855,2023,rerpuio@gmail.com
Asia,Chemicals,619051,2021,drmyhsz@trade.org
South America,Furniture,120600,2022,ljgdtqy@hotmail.com
North America,Electronics,453989,2024,nkqfzba@company.com
North America,Electronics,1214487,2024,xopnzbs@trade.org
Asia,Agriculture,405250,2021,lrdvakf@hotmail.com
Asia,Machinery,690456,2024,wkhgzxx@yahoo.com
North America,Plastics,620361,2021,hagqzgv@company.com
Africa,Textiles,1016348,2024,htcawie@company.com
North America,Plastics,424711,2021,muuiqdm@gmail.com
Asia,Furniture,741996,2021,gpvoodc@trade.org
Asia,Vehicles,1288316,2022,slsybag@hotmail.com
Oceania,Vehicles,516243,2023,tjpaqqw@company.com
Asia,Agriculture,562266,2022,qegqbcc@trade.org
Africa,Furniture,893855,2023,mseznnb@gmail.com
